B92 ,  S0 ,  0.0 ,  0.0
B93 ,  0.0 ,  0.0 ,  0.0
B94 ,  0.0 ,  0.0 ,  0.0
B95 ,  D ,  0.0 ,  0.0
B96 ,  E/D ,  0.0 ,  0.0
B97 ,  0.0 ,  0.0 ,  0.0
B98 ,  0.0 ,  0.0 ,  0.0
B99 ,  0.0 ,  0.0 ,  0.0
B100 ,  0.0 ,  0.0 ,  0.0
B101 ,  0.0 ,  0.0 ,  0.0
B102 ,  0.0 ,  0.0 ,  0.0
B103 ,  0.0 ,  0.0 ,  0.0
B104 ,  0.0 ,  0.0 ,  0.0
B105 ,  0.0 ,  0.0 ,  0.0
B106 ,  0.0 ,  0.0 ,  0.0
B107 ,  0.0 ,  0.0 ,  0.0
B108 ,  0.0 ,  0.0 ,  0.0
B109 ,  0.0 ,  0.0 ,  0.0
B110 ,  0.0 ,  0.0 ,  0.0
B111 ,  E/S0 ,  0.0 ,  0.0
B112 ,  S0 ,  0.0 ,  0.0
B113 ,  S0 ,  0.0 ,  0.0
B114 ,  0.0 ,  0.0 ,  0.0
B115 ,  0.0 ,  0.0 ,  0.0
B116 ,  0.0 ,  0.0 ,  0.0
B117 ,  0.0 ,  0.0 ,  0.0
B118 ,  0.0 ,  0.0 ,  0.0
B119 ,  0.0 ,  0.0 ,  0.0
B120 ,  0.0 ,  0.0 ,  0.0
B121 ,  0.0 ,  0.0 ,  0.0
B122 ,  0.0 ,  0.0 ,  0.0
B123 ,  0.0 ,  0.0 ,  0.0
B124 ,  0.0 ,  0.0 ,  0.0
B125 ,  0.0 ,  0.0 ,  0.0
B126 ,  0.0 ,  0.0 ,  0.0
B127 ,  S0 ,  0.0 ,  0.0
B128 ,  0.0 ,  0.0 ,  0.0
B129 ,  0.0 ,  0.0 ,  0.0
B130 ,  0.0 ,  0.0 ,  0.0
B131 ,  0.0 ,  0.0 ,  0.0
B132 ,  0.0 ,  0.0 ,  0.0
B133 ,  S0 ,  0.0 ,  0.0
B134 ,  0.0 ,  0.0 ,  0.0
B135 ,  0.0 ,  0.0 ,  0.0
B136 ,  0.0 ,  0.0 ,  0.0
B137 ,  0.0 ,  0.0 ,  0.0
B138 ,  0.0 ,  0.0 ,  0.0
B139 ,  0.0 ,  0.0 ,  0.0
B140 ,  0.0 ,  0.0 ,  0.0
B141 ,  0.0 ,  0.0 ,  0.0
B142 ,  0.0 ,  0.0 ,  0.0
B143 ,  0.0 ,  0.0 ,  0.0
B144 ,  0.0 ,  0.0 ,  0.0
B145 ,  0.0 ,  0.0 ,  0.0
B146 ,  0.0 ,  0.0 ,  0.0
B147 ,  S0 ,  0.0 ,  0.0
B148 ,  0.0 ,  0.0 ,  0.0
B149 ,  S0 ,  0.0 ,  0.0
B150 ,  0.0 ,  0.0 ,  0.0
B151 ,  0.0 ,  0.0 ,  0.0
B152 ,  0.0 ,  0.0 ,  0.0
B153 ,  0.0 ,  0.0 ,  0.0
B154 ,  S ,  0.0 ,  0.0
B155 ,  S0 ,  0.0 ,  0.0
B156 ,  0.0 ,  0.0 ,  0.0
B157 ,  E ,  0.0 ,  0.0
B158 ,  S0 ,  0.0 ,  0.0
B159 ,  0.0 ,  0.0 ,  0.0
B160 ,  0.0 ,  0.0 ,  0.0
B161 ,  E/S0 ,  0.0 ,  0.0
B162 ,  0.0 ,  0.0 ,  0.0
B163 ,  0.0 ,  0.0 ,  0.0
B164 ,  0.0 ,  0.0 ,  0.0
B165 ,  0.0 ,  0.0 ,  0.0
B166 ,  0.0 ,  0.0 ,  0.0
B167 ,  0.0 ,  0.0 ,  0.0
B168 ,  0.0 ,  0.0 ,  0.0
B169 ,  0.0 ,  0.0 ,  0.0
B170 ,  0.0 ,  0.0 ,  0.0
B171 ,  0.0 ,  0.0 ,  0.0
B172 ,  0.0 ,  0.0 ,  0.0
B173 ,  0.0 ,  0.0 ,  0.0
B174 ,  S0 ,  0.0 ,  0.0
B175 ,  0.0 ,  0.0 ,  0.0
B176 ,  0.0 ,  0.0 ,  0.0
B177 ,  0.0 ,  0.0 ,  0.0
B178 ,  0.0 ,  0.0 ,  0.0
B179 ,  0.0 ,  0.0 ,  0.0
