Radio Name(A),  Opt Name(B),  Ra Radio,  Dec Radio,  Area observed,  Area detectable, flux(mJy),  log(lum)-W/Hz,  log(lum)-W/Hz-detectable,  num Opt,   num opt detectable,  Ra NED,  Dec NED,  z,  MagNED, objID SDSS,  Ra SDSS,  Dec SDSS,  Mag_u,  Mag_g,  Mag_r,  Mag_i,  Mag_z,  Note,  u-r, color classification,  radio morph  optical morph,   conclution
A19,  B19,  256.11221,  78.64036,  0.11539,  2.99143,  26.0,  20.283,  20.179,  20,  175,  256.11333,  78.64028,  0.059,  13.8V,  1237663269868929094,  256.11322,  78.64037,  16.63,  14.52,  13.61,  13.13,  16.63,  None,  3.02,  A,  ? ext / so noisy / 5.5",  ? comp / circle-E2 / 11",  0.0
A20,  B20,  255.70408,  78.64133,  0.15591,  3.28167,  29.0,  20.331,  20.177,  27,  179,  255.70542,  78.64139,  0.056,  16.5V,  1237663269868863838,  255.70478,  78.64133,  19.15,  17.10,  16.18,  15.73,  19.15,  None,  2.97,  A,  ext / two radio sources / 8",  ext / lenticular-E2 or S0 / 9",  0.0
A21,  B21,  256.23592,  78.71828,  0.36800,  10.25142,  426.0,  21.498,  20.181,  53,  257,  256.23750,  78.71833,  0.062,  17.0R,  1237663269868929590,  256.23663,  78.71825,  19.44,  18.05,  17.37,  16.96,  19.44,  None,  2.07,  UN,  ext / lenticular / 17",  ext / lenticular-disk-S0 / 22",  0.0
A22,  B22,  255.57375,  78.76450,  0.85501,  5.85902,  64.0,  20.674,  20.202,  92,  224,  255.57292,  78.76461,  0.066,  None,  1237656565427994915,  255.57372,  78.76440,  19.21,  17.13,  16.28,  15.88,  19.21,  None,  2.93,  A,  ? ext / faint-circle / 3",  ? ext / lenticular-disk-S0 / 16",  0.0
A23,  B23,  256.39054,  78.58661,  0.86194,  10.25142,  180.0,  21.123,  20.203,  93,  257,  256.39125,  78.58667,  0.063,  15.6V,  1237663230678728929,  256.39099,  78.58659,  18.14,  16.16,  15.20,  14.73,  18.14,  None,  2.94,  A,  comp / circle / 6.5",  comp(big) / lenticular-S0 / 13.6",  0.0
A24,  B24,  255.57625,  78.76778,  0.88942,  10.25142,  2113.0,  22.193,  20.204,  95,  257,  255.57708,  78.76778,  0.065,  16.1V,  1237656565427994914,  255.57692,  78.76759,  18.02,  16.65,  15.95,  15.52,  18.02,  None,  2.07,  UN,  ? ext / elliptical- affected by neighber source / 17",  ? ext / arms- Sa / 17",  0.0
A25,  B25,  255.37346,  78.60208,  0.95995,  10.25142,  138.0,  21.008,  20.207,  97,  257,  255.37375,  78.60194,  0.060,  16.4V,  1237656565428060545,  255.37366,  78.60205,  18.79,  16.87,  15.91,  15.45,  18.79,  None,  2.88,  A,  ? ext / two radio source / 10",  ext / lenticular-E6 / 12",  0.0
A26,  B26,  256.20229,  78.80589,  1.31052,  10.25142,  203.0,  21.176,  20.225,  113,  257,  256.20292,  78.80583,  0.066,  15.7V,  1237663269868929529,  256.20277,  78.80586,  18.24,  16.24,  15.26,  14.82,  18.24,  None,  2.97,  A,  comp / circle-noisy /  7",  comp / circle-E2 / 11.5",  0.0
A27,  B27,  256.30017,  78.80397,  1.42028,  10.25142,  462.0,  21.533,  20.231,  117,  257,  256.29875,  78.80414,  0.066,  None,  1237663269868994711,  256.29967,  78.80387,  17.93,  16.74,  16.12,  15.75,  17.93,  **Note related to G221,  1.81,  UN,  comp / circle / 9",  comp / small lenticular-E6 / 11.5",  0.0
A28,  B28,  256.31367,  78.80369,  1.43862,  10.25142,  205.0,  21.180,  20.232,  118,  257,  256.31333,  78.80377,  0.066,  None,  1237663269868994714,  256.31431,  78.80371,  20.46,  19.03,  18.28,  17.88,  20.46,  **Note G221:double galaxy,  2.18,  A,  comp / circle / 7",  comp / circle-E2 / 6",  0.0
A29,  B29,  255.13358,  78.67000,  1.45193,  5.62004,  55.0,  20.609,  20.233,  120,  220,  255.13417,  78.67000,  0.060,  15.9V,  1237656565427995059,  255.13378,  78.66998,  18.36,  16.48,  15.55,  15.09,  18.36,  None,  2.81,  A,  comp / two radio sources-noisy / 8.5",  comp / a bit lenticular / 8",  0.0
A30,  B30,  255.24613,  78.74983,  1.47216,  10.25142,  396.0,  21.466,  20.234,  122,  257,  255.24625,  78.74972,  0.053,  15.58,  1237656565427994885,  255.24650,  78.74980,  18.14,  16.27,  15.36,  14.89,  18.14,  None,  2.78,  A,  comp / circle / 7.6",  ext / elliptical disk-Sa / 7",  0.0
A31,  B31,  255.25008,  78.75856,  1.54932,  10.25142,  157.0,  21.064,  20.238,  125,  257,  255.24958,  78.75889,  0.057,  17.3R,  1237663269868863582,  255.25018,  78.75857,  19.00,  17.75,  17.14,  16.79,  19.00,  None,  1.86,  UN,  ext / two radio sources,  ext / elliptical-E6 / 6",  0.0
A32,  B32,  255.12392,  78.63511,  1.54978,  5.35229,  49.0,  20.558,  20.238,  125,  218,  255.12208,  78.63472,  0.059,  16.4V,  1237663269868863675,  255.12227,  78.63465,  18.96,  17.03,  16.06,  15.60,  18.96,  None,  2.90,  A,  ext / two radio sources / 9.5",  comp / circle-E2 /5",  0.0
A33,  B33,  256.54846,  78.54711,  1.72048,  10.25142,  273.0,  21.304,  20.247,  134,  257,  256.54917,  78.54722,  0.061,  15.6V,  1237663230678729266,  256.54867,  78.54717,  -9999.00,  -9999.00,  15.22,  14.76,  -9999.00,  None,  -10014.22,  S,  ext / tow radio sources / 8.5",  ext / circle-E2 / 5",  0.0
A34,  B34,  256.24379,  78.83314,  1.85654,  10.25142,  151.0,  21.047,  20.255,  140,  257,  256.24375,  78.83306,  0.065,  16.27,  1237663269868994575,  256.24419,  78.83315,  19.74,  17.77,  16.80,  16.25,  19.74,  **Note G242: change optical position,  2.94,  A,  ext / circle center / 10",  ext / disk-lenticular-S0 / 14",  0.0
A35,  B35,  255.97329,  78.48656,  1.91858,  10.25142,  195.0,  21.158,  20.259,  142,  257,  255.97375,  78.48667,  0.054,  17.8V,  1237656565428125956,  255.97333,  78.48651,  19.54,  18.18,  17.59,  17.32,  19.54,  None,  1.94,  UN,  ext / two radio sources / 10",  ext / lenticular-E6 / 8",  0.0
A36,  B36,  255.89346,  78.84858,  1.95836,  10.25142,  801.0,  21.772,  20.262,  144,  257,  255.89375,  78.84861,  0.063,  16.6V,  1237663231215599974,  255.89351,  78.84857,  18.26,  16.95,  16.27,  15.86,  18.26,  None,  1.98,  UN,  ? ext / Iregular / 12",  ? ext / lenticular-S0 / 15",  0.0
A37,  B37,  256.86104,  78.60622,  2.19625,  10.25142,  273.0,  21.304,  20.277,  149,  257,  256.86250,  78.60583,  0.059,  16.6V,  1237663230678794442,  256.86241,  78.60594,  19.10,  17.17,  16.38,  15.95,  19.10,  None,  2.72,  A,  ext / Iregular / 18",  ext / circle center / 10",  0.0
A38,  B38,  256.22996,  78.85225,  2.23461,  10.25142,  376.0,  21.443,  20.279,  153,  257,  256.23042,  78.85200,  0.066,  None,  1237663269868994718,  256.23058,  78.85223,  19.81,  18.20,  17.44,  17.04,  19.81,  None,  2.37,  A,  ext / circle center / 11",  ext / lenticular-E6 /7",  0.0
A39,  B39,  255.69417,  78.86272,  2.39697,  10.25142,  2104.0,  22.191,  20.291,  156,  257,  255.69500,  78.86278,  0.055,  15.7V,  1237663231215599911,  255.69464,  78.86273,  18.02,  16.16,  15.21,  14.76,  18.02,  None,  2.81,  A,  comp / circle / 8",  comp / a bit lenticular-E2 / 7",  0.0
A40,  B40,  256.61725,  78.82067,  2.45932,  10.25142,  927.0,  21.835,  20.295,  157,  257,  256.61833,  78.82083,  0.063,  17.6V,  1237663269868994787,  256.61822,  78.82077,  19.47,  17.97,  17.28,  16.87,  19.47,  None,  2.20,  A,  ext / egg shape / 9.5",  ext / disk- lenticular-E2 / 12.7",  0.0
A41,  B41,  255.55050,  78.85917,  2.51456,  10.25142,  1364.0,  22.003,  20.299,  161,  257,  255.55125,  78.85917,  0.064,  16.4V,  1237656565427929429,  255.55095,  78.85913,  18.81,  16.98,  16.10,  15.59,  18.81,  None,  2.71,  A,  comp / egg shape / 9.5",  ext / lenticular-S0 / 16",  0.0
A42,  B42,  255.39342,  78.84628,  2.55571,  10.25142,  631.0,  21.668,  20.302,  162,  257,  255.39292,  78.84611,  0.065,  16.6R,  1237656565427929434,  255.39374,  78.84626,  19.17,  17.66,  16.79,  16.27,  19.17,  None,  2.38,  A,  ext/ circle center / 11",  ext / lenticular -S0 /13",  0.0
A43,  B43,  256.38988,  78.85464,  2.55877,  10.25142,  4175.0,  22.489,  20.302,  162,  257,  256.39000,  78.85472,  0.066,  15.3V,  1237663269868994739,  256.38996,  78.85462,  17.23,  16.02,  15.34,  14.89,  17.23,  None,  1.89,  UN,  ? ext / circle center / 15.6",  ? ext / lenticular-not symmetric /33",  0.0
A44,  B44,  257.04629,  78.65342,  2.84764,  4.25623,  40.0,  20.470,  20.324,  171,  197,  257.04542,  78.65333,  0.050,  17.6V,  1237663230678794779,  257.04511,  78.65344,  19.19,  18.01,  17.36,  17.01,  19.19,  None,  1.82,  UN,  ? nise,  ? ext/ circle center-E2/ 7.3",  0.0
