Name,  Ra Radio,  Dec Radio,  Area observed,  Area detectable,  flux(mJy),  log(lum),  log(lum) detectable,  num Optt,  z,  RaOpt,  DecOpt,   MagNED,   Note
A40,  256.61725,  78.820667,  927.0,  21.835292,  2.459315,  10.251422,  20.294898,  251,  0.063357,  256.618333333,  78.8208333333,        17.6V,     None  

A41,  255.5505,  78.859167,  1364.0,  22.003027,  2.514564,  10.251422,  20.298853,  251,  0.064461,  255.55125,  78.8591666667,        16.4V,     None  

A42,  255.393417,  78.846278,  631.0,  21.668242,  2.555706,  10.251422,  20.301836,  251,  0.065106,  255.392916667,  78.8461111111,        16.6R,     None  

A43,  256.389875,  78.854639,  4175.0,  22.488869,  2.558775,  10.251422,  20.302059,  251,  0.065502,  256.39,  78.8547222222,        15.3V,     None  

A44,  257.046292,  78.653417,  40.0,  20.470272,  2.847641,  4.256234,  20.323915,  141,  0.050104,  257.045416667,  78.6533333333,        17.6V,     None  

A45,  255.084833,  78.810611,  49.0,  20.558408,  2.83827,  5.352293,  20.323182,  160,  0.050552,  255.08125,  78.8102777778,        16.13,     None

A46,  255.106542,  78.823944,  231.0,  21.231824,  2.991989,  10.251422,  20.335413,  251,  0.051287,  255.10625,  78.8241666667,        16.5R,     None  

A47,  256.815083,  78.502194,  1200.0,  21.947394,  3.402366,  10.251422,  20.370069,  251,  0.062813,  256.815833333,  78.5022222222,        17.2V,     None  

A48,  256.0595,  78.910056,  203.0,  21.175708,  3.535834,  10.251422,  20.381922,  251,  0.063314,  256.060416667,  78.91,        18.2V,     None  

A49,  257.0125,  78.544056,  109.0,  20.905639,  3.58035,  8.46769,  20.385935,  233,  0.059743,  257.013333333,  78.5441666667,        18.0V,     None  

A50,  255.568833,  78.902944,  220.0,  21.210635,  3.591484,  10.251422,  20.386943,  251,  0.065243,  255.570416667,  78.9030555556,        17.8V,     None  

A51,  254.9055,  78.494806,  98.0,  20.859438,  4.179273,  8.221362,  20.442427,  225,  0.052713,  254.90625,  78.4952777778,        16.4V,     None  

