A34,  256.243792,  78.833139,  1.856545,  10.251422,  151.0,  21.047189,  20.255471,  140,  257,  B34,   256.24375,   78.8330555556,   0.065345,         16.27,   **Note G242: change optical position
A35,  255.973292,  78.486556,  1.918581,  10.251422,  195.0,  21.158247,  20.259224,  142,  257,  B35,   255.97375,   78.4866666667,   0.054256,         17.8V,   None
A36,  255.893458,  78.848583,  1.958362,  10.251422,  801.0,  21.771845,  20.261666,  144,  257,  B36,   255.89375,   78.8486111111,   0.063188,         16.6V,   None
A37,  256.861042,  78.606222,  2.196253,  10.251422,  273.0,  21.304375,  20.276864,  149,  257,  B37,   256.8625,   78.6058333333,   0.058553,         16.6V,   None
A38,  256.229958,  78.85225,  2.234608,  10.251422,  376.0,  21.4434,  20.279412,  153,  257,  B38,   256.230416667,   78.852,   0.066003,        None ,   None
A39,  255.694167,  78.862722,  2.396969,  10.251422,  2104.0,  22.191258,  20.290505,  156,  257,  B39,   255.695,   78.8627777778,   0.055498,         15.7V,   None
A40,  256.61725,  78.820667,  2.459315,  10.251422,  927.0,  21.835292,  20.294898,  157,  257,  B40,   256.618333333,   78.8208333333,   0.063357,         17.6V,   None
A41,  255.5505,  78.859167,  2.514564,  10.251422,  1364.0,  22.003027,  20.298853,  161,  257,  B41,   255.55125,   78.8591666667,   0.064461,         16.4V,   None
A42,  255.393417,  78.846278,  2.555706,  10.251422,  631.0,  21.668242,  20.301836,  162,  257,  B42,   255.392916667,   78.8461111111,   0.065106,         16.6R,   None
A43,  256.389875,  78.854639,  2.558775,  10.251422,  4175.0,  22.488869,  20.302059,  162,  257,  B43,   256.39,   78.8547222222,   0.065502,         15.3V,   None
A44,  257.046292,  78.653417,  2.847641,  4.256234,  40.0,  20.470272,  20.323915,  171,  197,  B44,   257.045416667,   78.6533333333,   0.050104,         17.6V,   None
A45,  255.084833,  78.810611,  2.83827,  5.352293,  49.0,  20.558408,  20.323182,  169,  218,  B45,   255.08125,   78.8102777778,   0.050552,         16.13,   None
A46,  255.106542,  78.823944,  2.991989,  10.251422,  231.0,  21.231824,  20.335413,  175,  257,  B46,   255.10625,   78.8241666667,   0.051287,         16.5R,   None
A47,  256.815083,  78.502194,  3.402366,  10.251422,  1200.0,  21.947394,  20.370069,  181,  257,  B47,   256.815833333,   78.5022222222,   0.062813,         17.2V,   None
A48,  256.0595,  78.910056,  3.535834,  10.251422,  203.0,  21.175708,  20.381922,  184,  257,  B48,   256.060416667,   78.91,   0.063314,         18.2V,   None
A49,  257.0125,  78.544056,  3.58035,  8.46769,  109.0,  20.905639,  20.385935,  185,  246,  B49,   257.013333333,   78.5441666667,   0.059743,         18.0V,   None
A50,  255.568833,  78.902944,  3.591484,  10.251422,  220.0,  21.210635,  20.386943,  186,  257,  B50,   255.570416667,   78.9030555556,   0.065243,         17.8V,   None
A51,  254.9055,  78.494806,  4.179273,  8.221362,  98.0,  20.859438,  20.442427,  196,  245,  B51,   254.90625,   78.4952777778,   0.052713,         16.4V,   None
A52,  254.586917,  78.723472,  4.292733,  8.366311,  106.0,  20.893518,  20.453582,  198,  246,  B52,   254.586666667,   78.7238888889,   0.053068,          ... ,   None
A53,  256.639417,  78.422083,  4.698221,  5.832223,  63.0,  20.667553,  20.494344,  205,  223,  B53,   256.639583333,   78.4219444444,   0.052123,         15.61,   **Note G310:optical position changed
A54,  256.548833,  78.410417,  4.764471,  10.251422,  312.0,  21.362367,  20.501115,  208,  257,  B54,   256.547916667,   78.4105555556,   0.061101,         17.8V,   None
A55,  257.139167,  78.498389,  5.045825,  10.251422,  3295.0,  22.386068,  20.530139,  214,  257,  B55,   257.139583333,   78.4983333333,   0.062253,         15.2V,   None
A56,  257.241625,  78.837528,  5.580686,  10.251422,  892.0,  21.818577,  20.586117,  219,  257,  B56,   257.242083333,   78.8375,   0.053527,         15.7V,   None
A57,  255.134083,  78.936056,  5.702466,  10.251422,  255.0,  21.274752,  20.59894,  222,  257,  B57,   255.134583333,   78.9361111111,   0.050698,         16.39,   None
A58,  257.3305,  78.5045,  6.078165,  8.059809,  89.0,  20.817602,  20.638524,  229,  244,  B58,   257.327916667,   78.5047222222,   0.055706,         16.7R,   None
A59,  255.855042,  78.344111,  6.155401,  10.251422,  828.0,  21.786243,  20.646653,  230,  257,  B59,   255.853333333,   78.3441666667,   0.063117,         16.4R,   None
A60,  257.4385,  78.518611,  6.539134,  10.251422,  130.0,  20.982156,  20.686901,  232,  257,  B60,   257.43,   78.5177777778,   0.061913,         16.63,   None
A61,  255.789884,  78.68897,  0.075114,  4.70251,  43.77,  20.509389,  20.181328,  10,  205,  B61,   255.78875,   78.6888888889,   0.047636,         16.8V,   None
A62,  256.16165,  78.88676,  2.980081,  10.251422,  1032.64,  21.882161,  20.33445,  175,  257,  B62,   256.15625,   78.8888888889,   0.060451,         18.1V,   None
A63,  255.45625,  79.037778,  8.632676,  10.251422,  3165.87,  22.368705,  20.897153,  248,  257,  B63,   255.455,   79.0377777778,   0.064387,         15.6 ,   None
A64,  256.97933,  78.747139,  2.869135,  7.897207,  79.85,  20.770487,  20.325603,  172,  243,  B64,   256.979583333,   78.7469444444,   0.056516,         17.0V,   None
A65,  257.41612,  78.552139,  5.850165,  10.251422,  356.42,  21.420174,  20.614504,  224,  257,  B65,   257.414583333,   78.5522222222,   0.053817,         15.73,   None
A66,  256.704,  78.592722,  1.692168,  3.856448,  37.25,  20.439339,  20.24584,  133,  192,  B66,   256.704166667,   78.5927777778,   0.058077,         16.0V,   None
A67,  256.75192,  78.689861,  1.563813,  10.251422,  251.9,  21.26944,  20.238618,  128,  257,  B67,   256.752083333,   78.6897222222,   0.056559,         17.6V,   None
A68,  254.50925,  78.563389,  5.282973,  10.251422,  214.62,  21.199882,  20.554865,  217,  257,  B68,   254.505,   78.5627777778,   0.064051,         15.40,   None
A69,  255.33471,  78.755306,  1.270215,  5.253304,  47.38,  20.543807,  20.22296,  110,  216,  B69,   255.334166667,   78.7555555556,   0.056605,         18.0R,   None
A70,  255.04458,  79.004444,  8.479698,  10.251422,  350.29,  21.41264,  20.882503,  246,  257,  B70,   255.044583333,   79.0044444444,   0.057967,         16.44,   None
A71,  254.95417,  78.972222,  7.634608,  10.251422,  295.76,  21.339152,  20.799374,  242,  257,  B71,   254.954166667,   78.9722222222,   0.058836,          ... ,   None
A72,  257.29125,  78.875556,  6.717274,  10.251422,  1860.86,  22.137926,  20.705474,  235,  257,  B72,   257.29125,   78.8755555556,   0.062526,         15.9V,   None
A73,  256.28583,  78.685,  0.305855,  10.251422,  1128.81,  21.920833,  20.17925,  47,  257,  B73,   256.285833333,   78.685,   0.059464,          ... ,   None
A74,  256.14958,  78.668056,  0.1086,  9.236935,  124.02,  20.961704,  20.178882,  16,  253,  B74,   256.149583333,   78.6680555556,   0.065715,         17.8V,   None
A75,  255.90917,  78.782778,  0.797839,  10.251422,  132.69,  20.99105,  20.199716,  86,  257,  B75,   255.9075,   78.7829444444,   0.066187,        None ,   None
A76,  254.19667,  78.783056,  7.593249,  10.251422,  231.75,  21.233232,  20.795216,  241,  257,  B76,   254.196666667,   78.7830555556,   0.05653,         16.40,   None
A77,  254.71417,  78.516667,  4.750804,  10.251422,  330.38,  21.387226,  20.499716,  206,  257,  B77,   254.714166667,   78.5166666667,   0.061723,         16.11,   None
A78,  257.63,  78.486111,  8.605911,  10.251422,  300.79,  21.346476,  20.894599,  248,  257,  B78,   257.63,   78.4861111111,   0.05286,         16.54,   None
