B31,     255.249583333,     78.7588888889,     0.056799,           17.3R,     None,  B31,  1237663269868863582,  255.250180195,  78.7585743266,  18.99701,  17.74692,  17.13749,  16.79104,  18.99701
B32,     255.122083333,     78.6347222222,     0.058987,           16.4V,     None,  B32,  1237663269868863675,  255.122270708,  78.6346510612,  18.96465,  17.02757,  16.05981,  15.60444,  18.96465
B33,     256.549166667,     78.5472222222,     0.061439,           15.6V,     None,  B33,  1237663230678729266,  256.548668539,  78.5471712978,  -9999.0,  -9999.0,  15.22398,  14.75623,  -9999.0
B34,     256.24375,     78.8330555556,     0.065345,           16.27,     **Note G242: change optical position,  B34,  1237663269868994575,  256.244192819,  78.8331485009,  19.74024,  17.76898,  16.79728,  16.24689,  19.74024
B35,     255.97375,     78.4866666667,     0.054256,           17.8V,     None,  B35,  1237656565428125956,  255.973333168,  78.4865114484,  19.53557,  18.18484,  17.59169,  17.31517,  19.53557
B36,     255.89375,     78.8486111111,     0.063188,           16.6V,     None,  B36,  1237663231215599974,  255.893507724,  78.8485681726,  18.25739,  16.95087,  16.2742,  15.86092,  18.25739
B37,     256.8625,     78.6058333333,     0.058553,           16.6V,     None,  B37,  1237663230678794442,  256.86240994,  78.6059445984,  19.09721,  17.17233,  16.37618,  15.95413,  19.09721
B38,     256.230416667,     78.852,     0.066003,          None ,     None,  B38,  1237663269868994718,  256.230578296,  78.8522262653,  19.80752,  18.19998,  17.44226,  17.03988,  19.80752
B39,     255.695,     78.8627777778,     0.055498,           15.7V,     None,  B39,  1237663231215599911,  255.69463813,  78.8627343008,  18.02243,  16.16334,  15.21279,  14.75917,  18.02243
B40,     256.618333333,     78.8208333333,     0.063357,           17.6V,     None,  B40,  1237663269868994787,  256.61821953,  78.8207707715,  19.47391,  17.96672,  17.27746,  16.86689,  19.47391
B41,     255.55125,     78.8591666667,     0.064461,           16.4V,     None,  B41,  1237656565427929429,  255.550945229,  78.8591315418,  18.81056,  16.97897,  16.10238,  15.59498,  18.81056
B42,     255.392916667,     78.8461111111,     0.065106,           16.6R,     None,  B42,  1237656565427929434,  255.393739747,  78.8462576204,  19.16813,  17.65726,  16.79103,  16.26701,  19.16813
B43,     256.39,     78.8547222222,     0.065502,           15.3V,     None,  B43,  1237663269868994739,  256.389957853,  78.8546244618,  17.23078,  16.016,  15.34449,  14.88675,  17.23078
B44,     257.045416667,     78.6533333333,     0.050104,           17.6V,     None,  B44,  1237663230678794779,  257.045106501,  78.653435089,  19.18621,  18.00641,  17.3637,  17.0075,  19.18621
