B1,1237656565428060275,255.899481045164,78.6289115562433,2582,301,6,69,GALAXY,16.70298,14.67031,13.73245,13.27251,12.94528
B2,1237656565428060276,255.89147511204,78.629873502755,2582,301,6,69,GALAXY,19.80289,17.6552,16.68518,16.2503,15.81477
B3,1237656565428060273,255.872399751181,78.6319376455833,2582,301,6,69,GALAXY,18.00046,15.88447,14.91594,14.45812,14.09925
B4,1237663269868929235,255.761139062908,78.5989644402009,4143,301,6,22,UNKNOWN,-9999,-9999,-9999,-9999,-9999
B5,1237663269868929332,255.875196941476,78.6650648477492,4143,301,6,22,GALAXY,17.94445,15.9509,15.00198,14.54487,14.17343
B6,1237663269868863746,255.217512744481,78.6891986279668,4143,301,6,21,GALAXY,18.63555,16.54843,15.55714,15.09666,14.71829
B8,1237663269868994758,256.734311929742,78.6858756912017,4143,301,6,23,GALAXY,18.14676,16.19357,15.27187,14.83303,14.4938
B9,1237663230678794280,256.680106160566,78.5991949645094,4134,301,5,44,GALAXY,18.47456,17.98252,24.80801,16.32107,15.91791
B10,1237663269868929404,255.985603789065,78.7454175295483,4143,301,6,22,GALAXY,18.59152,16.57764,15.61466,15.15192,14.80572
B11,1237663230678663471,255.562586134708,78.5963802534346,4134,301,5,42,GALAXY,18.55191,16.66973,15.78454,15.31652,14.98297
B12,1237656565427994940,255.842892848246,78.7821341574931,2582,301,6,68,GALAXY,18.92203,17.35349,16.52683,16.03423,15.63882
B13,1237663269868929086,256.200362782793,78.641432978566,4143,301,6,22,GALAXY,17.74756,15.73835,14.76639,14.30279,13.96613
B14,1237656565427995050,255.347196447587,78.6875338194703,2582,301,6,68,GALAXY,17.82661,16.39565,15.75435,15.37105,15.10182
B15,1237655749380800842,254.576557869816,78.4926994323965,2392,301,6,16,GALAXY,16.60751,15.41475,14.85144,14.4761,14.22922
B16,1237662720113312087,254.694931532539,78.4226461057622,4015,301,6,25,GALAXY,17.30396,15.59595,14.78462,14.35527,13.96806
B17,1237663269868929050,255.798993818217,78.674991690865,4143,301,6,22,GALAXY,18.74309,16.81572,15.904,15.4612,15.13508
B18,1237663269868929392,256.06787943883,78.6792073469637,4143,301,6,22,GALAXY,18.60702,16.62029,15.69036,15.22106,14.87216
B19,1237663269868929094,256.113221702929,78.640373422201,4143,301,6,22,GALAXY,16.6264,14.51756,13.60638,13.12685,12.74824
B20,1237663269868863838,255.704782994598,78.6413291766832,4143,301,6,21,GALAXY,19.15421,17.09695,16.17959,15.73294,15.38847
B21,1237663269868929590,256.23662985545,78.7182536379856,4143,301,6,22,GALAXY,19.43619,18.05313,17.36687,16.95937,16.70418
B22,1237656565427994915,255.573723766144,78.7644029635982,2582,301,6,68,GALAXY,19.20587,17.13057,16.27758,15.87553,15.55987
B23,1237663230678728929,256.390994358208,78.5865921630867,4134,301,5,43,GALAXY,18.14285,16.15585,15.20296,14.72534,14.39179
B24,1237656565427994914,255.576923746152,78.7675919544971,2582,301,6,68,GALAXY,18.02289,16.65356,15.94943,15.51658,15.24713
B25,1237656565428060545,255.3736637287,78.602052724032,2582,301,6,69,GALAXY,18.79399,16.87062,15.915,15.44615,15.05082
B26,1237663269868929529,256.202767981486,78.8058595878156,4143,301,6,22,GALAXY,18.23685,16.23555,15.26457,14.82211,14.50855
B27,1237663269868994711,256.299669873471,78.8038686815201,4143,301,6,23,GALAXY,17.93059,16.74247,16.12103,15.75301,15.52177
B28,1237663269868994714,256.314307194152,78.8037144411125,4143,301,6,23,GALAXY,20.46196,19.02977,18.28109,17.8769,17.64189
B29,1237656565427995059,255.133782887222,78.669978947456,2582,301,6,68,GALAXY,18.35654,16.48428,15.54897,15.08507,14.73092
B30,1237656565427994885,255.246500375564,78.7498044616367,2582,301,6,68,GALAXY,18.13948,16.26784,15.35622,14.89301,14.50544
B31,1237663269868863582,255.250180195451,78.7585743266103,4143,301,6,21,GALAXY,18.99701,17.74692,17.13749,16.79104,16.56792
B32,1237663269868863675,255.122270707576,78.6346510612047,4143,301,6,21,GALAXY,18.96465,17.02757,16.05981,15.60444,15.21261
B33,1237663230678729266,256.548668539437,78.5471712977648,4134,301,5,43,GALAXY,-9999,-9999,15.22398,14.75623,-9999
B34,1237663269868994575,256.244192818779,78.8331485009087,4143,301,6,23,GALAXY,19.74024,17.76898,16.79728,16.24689,15.87586
B35,1237656565428125956,255.97333316834,78.4865114483894,2582,301,6,70,GALAXY,19.53557,18.18484,17.59169,17.31517,17.05067
B36,1237663231215599974,255.893507723826,78.8485681726021,4134,301,6,43,GALAXY,18.25739,16.95087,16.2742,15.86092,15.61835
B37,1237663230678794442,256.862409940244,78.6059445983786,4134,301,5,44,GALAXY,19.09721,17.17233,16.37618,15.95413,15.70136
B38,1237663269868994718,256.230578295948,78.8522262652562,4143,301,6,23,GALAXY,19.80752,18.19998,17.44226,17.03988,16.7729
B39,1237663231215599911,255.694638130493,78.8627343008053,4134,301,6,43,GALAXY,18.02243,16.16334,15.21279,14.75917,14.42336
B40,1237663269868994787,256.618219529723,78.8207707715476,4143,301,6,23,GALAXY,19.47391,17.96672,17.27746,16.86689,16.55509
B41,1237656565427929429,255.550945228903,78.8591315417707,2582,301,6,67,GALAXY,18.81056,16.97897,16.10238,15.59498,15.20552
B42,1237656565427929434,255.393739747018,78.8462576204005,2582,301,6,67,GALAXY,19.16813,17.65726,16.79103,16.26701,15.88112
B43,1237663269868994739,256.389957853406,78.8546244618465,4143,301,6,23,GALAXY,17.23078,16.016,15.34449,14.88675,14.66841
B44,1237663230678794779,257.045106501351,78.6534350890285,4134,301,5,44,GALAXY,19.18621,18.00641,17.3637,17.0075,16.7773
B46,1237663231215534435,255.107230277481,78.8240138424865,4134,301,6,42,GALAXY,19.43351,17.57716,16.80207,16.36746,16.05437
B47,1237663230678794661,256.81521258988,78.5021733363665,4134,301,5,44,GALAXY,18.98319,17.69519,16.47644,16.00573,15.65312
B48,1237663231215665398,256.060428112864,78.9099566868649,4134,301,6,44,GALAXY,19.53127,18.47887,18.13574,17.80482,17.79931
B49,1237663230678794724,257.01286116297,78.5440978850309,4134,301,5,44,GALAXY,20.13627,18.51594,17.60781,17.13215,16.81042
B50,1237663231215599906,255.56980771225,78.9029710180986,4134,301,6,43,GALAXY,19.05872,17.69607,17.08054,16.67933,16.4769
B51,1237655749380866191,254.90609661151,78.4952340643894,2392,301,6,17,UNKNOWN,-9999,-9999,-9999,-9999,-9999
B52,1237663269868798241,254.587341489232,78.7235395378884,4143,301,6,20,GALAXY,18.60868,17.06268,16.26982,16.38029,15.84569
B53,1237663269332058258,256.638383022723,78.4222635010469,4143,301,5,22,GALAXY,18.55976,16.62299,15.70522,15.23102,14.89894
B54,1237656565428191612,256.548752480939,78.4104739864563,2582,301,6,71,GALAXY,19.50291,18.17724,17.50449,17.11265,16.84254
B55,1237663230678794417,257.139081117532,78.498380239265,4134,301,5,44,GALAXY,17.99263,15.87979,14.92031,14.44202,14.11387
B56,1237663269869060112,257.241581613862,78.8374888097141,4143,301,6,24,GALAXY,17.77209,15.94307,15.0505,14.58174,14.27975
B57,1237663231215599819,255.134546146833,78.9360882590344,4134,301,6,43,GALAXY,18.71879,16.95435,16.05746,15.57189,15.18129
B59,1237663269331992717,255.854894666603,78.344086717661,4143,301,5,21,GALAXY,18.40294,17.2278,16.68898,16.30788,16.12581
B61,1237656565427995145,255.78841154489,78.6888647015661,2582,301,6,68,UNKNOWN,-9999,-9999,-9999,-9999,-9999
B62,1237663231215665231,256.155667193329,78.8888857828523,4134,301,6,44,GALAXY,19.19084,17.89357,17.5511,17.25821,17.20393
B63,1237663231215599938,255.454548538224,79.0378746603062,4134,301,6,43,GALAXY,17.15535,15.38626,14.53821,14.08464,13.72113
B64,1237663269868994834,256.979324583922,78.7470759587906,4143,301,6,23,GALAXY,19.14963,17.36313,16.4453,16.04538,15.70606
B65,1237663230678860038,257.416130812698,78.5520170182894,4134,301,5,45,GALAXY,17.95255,16.22254,15.37191,14.92419,14.604
B66,1237663230678794264,256.703930121026,78.592663431957,4134,301,5,44,GALAXY,24.36416,18.06705,17.10814,16.57804,16.32572
B67,1237663269868994760,256.751961900816,78.6897789579383,4143,301,6,23,GALAXY,20.61232,18.4701,17.51958,17.13471,16.81514
B69,1237663269868864161,255.334598512091,78.7552344573923,4143,301,6,21,GALAXY,20.43874,18.91024,18.22282,17.75945,17.49095
B70,1237663231215599825,255.045909732226,79.0042723246091,4134,301,6,43,GALAXY,18.55432,16.87271,16.00419,15.55768,15.2153
B71,1237656565427864068,254.95592394529,78.9722774786379,2582,301,6,66,GALAXY,19.99234,18.72859,18.12274,17.72529,17.50102
B72,1237663269869060334,257.291231066691,78.875505841125,4143,301,6,24,GALAXY,17.4849,16.20008,15.497,15.09942,14.83994
B73,1237663269868929212,256.286138702129,78.6849724032987,4143,301,6,22,STAR,19.40607,17.44981,16.66214,16.36099,16.32247
B74,1237663269868929418,256.149332302671,78.6681535644636,4143,301,6,22,GALAXY,19.48927,17.89213,17.01176,16.57884,16.79492
B75,1237663269868929423,255.908862205752,78.7828224500436,4143,301,6,22,GALAXY,20.33916,18.45026,17.52826,17.08714,16.78442
B78,1237663269332189439,257.630824915432,78.4860278694732,4143,301,5,24,GALAXY,18.82439,17.15493,16.31477,15.91225,15.57427
B79,1237663269332123864,257.198236687365,78.4324122007854,4143,301,5,23,GALAXY,19.01929,17.41553,16.7017,16.32695,16.03569
B80,1237663269332123997,257.173445360512,78.3958850119539,4143,301,5,23,GALAXY,19.88031,18.28336,17.48129,17.08025,16.75098
B81,1237663269332123885,257.341519056309,78.3682952906388,4143,301,5,23,GALAXY,18.48406,16.93654,16.05923,15.62499,15.30941
B82,1237663269331927318,255.530307680525,78.2916746203101,4143,301,5,20,GALAXY,17.61428,16.24395,15.51515,15.11197,14.80713
B83,1237663269869060292,257.254205540642,78.7718765917572,4143,301,6,24,GALAXY,17.51084,16.04759,15.24681,14.81719,14.44897
B84,1237656565428060463,255.898534287528,78.6649284649144,2582,301,6,69,GALAXY,19.37569,17.27476,16.33756,15.881,15.52003
B85,1237656565428060456,255.90519064,78.6750785457546,2582,301,6,69,GALAXY,20.26042,18.4084,17.49511,17.07043,16.68166
B86,1237656565428060534,255.925578832055,78.6544082523188,2582,301,6,69,GALAXY,21.54961,19.66547,18.79634,18.40788,18.11965
B89,1237656565428060201,255.802587586843,78.6722809395959,2582,301,6,69,GALAXY,20.89939,18.88011,17.97029,17.55348,17.23268
B90,1237656565428060282,255.907130522687,78.6408025610418,2582,301,6,69,GALAXY,19.42312,17.29728,16.37787,15.93901,15.60629
B92,1237663230678728783,255.985712740132,78.6265411886337,4134,301,5,43,GALAXY,18.88015,16.8743,15.97375,15.54754,15.283
B93,1237656565428060288,256.124907097499,78.6465106641623,2582,301,6,69,GALAXY,19.77805,17.65855,16.72871,16.30341,15.9905
