255.89875,	78.665,	0.051632,	      16.7V,	   None  
255.377083333,	78.5311111111,	0.058956,	      16.8V,	   None  

256.830833333,	78.6641666667,	0.061622,	      17.3V,	   None  

256.77,	78.5988888889,	0.053094,	      17.4R,	   None  

256.457916667,	78.5186111111,	0.059046,	      18.1V,	   None  

256.394166667,	78.5094444444,	0.063525,	      18.3V,	   None  

256.316666667,	78.5005555556,	0.059915,	      17.6V,	   None  

256.315,	78.4972222222,	0.060531,	      19.0V,	   None  

256.71625,	78.5616666667,	0.061426,	      17.1V,	   None  

256.867083333,	78.6111111111,	0.058851,	      16.5V,	   None  

256.309166667,	78.4886111111,	0.054986,	      16.8R,	   None  

255.06625,	78.5736111111,	0.061449,	      16.5V,	   None  

255.084583333,	78.5652777778,	0.054612,	      16.8V,	   None  

254.950833333,	78.7013888889,	0.055357,	      17.3V,	   None  

255.390833333,	78.8325,	0.052265,	       ... ,	   None  

255.094166667,	78.7894444444,	0.062673,	      16.12,	   None

256.277916667,	78.4727777778,	0.064224,	      15.9V,	   None  

255.5275,	78.4725,	0.054201,	      17.4V,	   None  

255.859166667,	78.8788888889,	0.06373,	      17.1V,	   None  

254.880416667,	78.7236111111,	0.056518,	      17.5V,	   None  

255.21125,	78.8302777778,	0.057897,	      16.31,	   None

256.723333333,	78.5155555556,	0.060035,	      16.3V,	   None  

257.0225,	78.6255555556,	0.059511,	      16.29,	   None

255.117083333,	78.5161111111,	0.060554,	      18.2V,	   None  

255.82125,	78.4463888889,	0.054046,	      17.2V,	   None  

256.034583333,	78.4463888889,	0.056052,	      17.9V,	   None  

255.106666667,	78.5108333333,	0.058147,	      16.5V,	   None  

254.79875,	78.6205555556,	0.05547,	      17.8V,	   None  

257.040833333,	78.5711111111,	0.061846,	      17.1V,	   None  

257.15,	78.6755555556,	0.057426,	      17.8V,	   None  

255.03125,	78.8311111111,	0.055085,	       ... ,	   None  

255.443333333,	78.8922222222,	0.049582,	       ... ,	   None  

256.116666667,	78.4222222222,	0.056593,	      18.1V,	   None  

257.05875,	78.7802777778,	0.053229,	      18.4V,	   None  

256.87125,	78.5025,	0.063512,	      18.4V,	   None  

257.103333333,	78.5747222222,	0.060072,	      18.1V,	   None  

257.194166667,	78.6177777778,	0.055081,	      17.8V,	   None  

254.830833333,	78.8063888889,	0.050456,	       ... ,	   None  

254.720833333,	78.7711111111,	0.064537,	       ... ,	   None  

255.61625,	78.9183333333,	0.050157,	      17.5V,	   None  

257.190416667,	78.5677777778,	0.061095,	      17.0V,	   None  

256.377083333,	78.9208333333,	0.057351,	       ... ,	   None  

257.312083333,	78.6363888889,	0.060491,	      16.9V,	   None  

254.520416667,	78.6608333333,	0.059961,	      17.9V,	   None  

254.54,	78.7183333333,	0.057185,	      18.1V,	   None  

256.8075,	78.8883333333,	0.055255,	      16.0V,	   None  

257.35125,	78.705,	0.059618,	      16.39,	   None

254.484583333,	78.6419444444,	0.060327,	      18.4V,	   None  

257.25375,	78.5505555556,	0.054009,	      16.7V,	   None  

256.634583333,	78.4172222222,	0.0599,	      18.0V,	   None  

256.8375,	78.8938888889,	0.055251,	      17.1V,	   None  

256.15,	78.38,	0.05835,	      17.3V,	   None  

254.472083333,	78.6236111111,	0.058147,	      18.0V,	   None  

257.444166667,	78.6925,	0.059681,	      16.58,	   None

257.375833333,	78.7627777778,	0.060875,	       ... ,	   None  

254.425833333,	78.5919444444,	0.064667,	       ... ,	   None  

256.46,	78.3763888889,	0.054861,	      16.2V,	   None  

256.355,	78.3669444444,	0.057778,	      17.0V,	   None  

257.440833333,	78.5519444444,	0.062357,	       ... ,	   None  

255.165416667,	78.95,	0.06132,	       ... ,	   None  

257.56,	78.6569444444,	0.056446,	      16.44,	   None

254.256666667,	78.6577777778,	0.062829,	      16.58,	   None

256.64625,	78.3655555556,	0.056038,	      17.5V,	   None  

254.322916667,	78.7847222222,	0.060708,	       ... ,	   None  

254.712916667,	78.92,	0.060331,	       ... ,	   None  

254.272916667,	78.5466666667,	0.05502,	      16.04,	   None

254.170416667,	78.6180555556,	0.0596,	       ... ,	   None  

257.64,	78.565,	0.064925,	      16.68,	   None

257.69125,	78.5375,	0.0626,	      15.11,	   None

257.0975,	78.3741666667,	0.057518,	      17.2V,	   None  

256.809166667,	78.32,	0.05874,	       ... ,	   None  

254.078333333,	78.5352777778,	0.06129,	       ... ,	   None  

253.999166667,	78.7711111111,	0.061452,	      16.05,	   None

256.6,	79.0436111111,	0.058659,	       ... ,	   None  

257.95625,	78.5980555556,	0.05944,	       ... ,	   None  

257.312916667,	78.3661111111,	0.055713,	       ... ,	   None  

