255.89875,  78.665 ,           
255.905416667,  78.675 ,       
255.875416667,  78.6652777778 ,
255.924583333,  78.6547222222 ,
256.004166667,  78.6583333333 ,
255.9625,   78.6430555556 ,    
255.803333333,  78.6722222222 ,
255.9075,   78.6408333333 ,    
255.799583333,  78.675 ,       
256.068333333,  78.6791666667 ,
255.78875,  78.6888888889 ,    
255.872916667,  78.6319444444 ,
255.884166667,  78.6305555556 ,
255.892083333,  78.63 ,        
255.9,    78.6288888889 ,      
255.98625,  78.6266666667 ,    
256.149583333,  78.6680555556 ,
256.125416667,  78.6466666667 ,
255.94375,  78.6233333333 ,    
256.100833333,  78.6383333333 ,
256.113333333,  78.6402777778 ,
256.05625,  78.6286111111 ,    
255.745,    78.6377777778 ,    
255.886666667,  78.6172222222 ,
255.93125,  78.7175 ,          
255.742083333,  78.7013888889 ,
255.705416667,  78.6413888889 ,
255.909583333,  78.615 ,       
256.091666667,  78.7083333333 ,
256.1975,   78.6752777778 ,    
256.16875,  78.6919444444 ,    
255.869583333,  78.6141666667 ,
255.655833333,  78.6763888889 ,
256.137083333,  78.7055555556 ,
256.21625,  78.6741666667 ,    
255.644583333,  78.6602777778 ,
256.200416667,  78.6413888889 ,
256.169583333,  78.6280555556 ,
255.75625,  78.6144444444 ,    
256.264583333,  78.6672222222 ,
256.183333333,  78.6227777778 ,
256.205833333,  78.6283333333 ,
255.839583333,  78.7316666667 ,
256.240833333,  78.6369444444 ,
256.08875,  78.6058333333 ,    
256.243333333,  78.7008333333 ,
255.579166667,  78.6483333333 ,
256.285833333,  78.685 ,       
255.9825,   78.7388888889 ,    
255.762083333,  78.5988888889 ,
255.571666667,  78.6383333333 ,
255.857083333,  78.5916666667 ,
255.633333333,  78.7180555556 ,
256.2375,   78.7183333333 ,    
255.985833333,  78.7455555556 ,
256.326666667,  78.6461111111 ,
256.35,   78.6730555556 ,      
256.362916667,  78.6463888889 ,
256.3775,   78.6719444444 ,    
255.57125,  78.7213888889 ,    
256.050833333,  78.58 ,        
255.946666667,  78.5763888889 ,
256.38625,  78.6505555556 ,    
255.73,   78.5844444444 ,      
255.584166667,  78.6036111111 ,
256.389583333,  78.6947222222 ,
256.079166667,  78.7569444444 ,
255.492083333,  78.7105555556 ,
256.117916667,  78.7577777778 ,
255.595,    78.5938888889 ,    
255.562916667,  78.5963888889 ,
256.448333333,  78.6658333333 ,
255.612916667,  78.7469444444 ,
255.805416667,  78.7655555556 ,
256.247083333,  78.5844444444 ,
256.412916667,  78.6255555556 ,
256.19625,  78.5761111111 ,    
255.59,   78.7505555556 ,      
255.38,   78.6697222222 ,      
255.434166667,  78.6147222222 ,
256.0175,   78.5563888889 ,    
256.382916667,  78.5972222222 ,
255.65125,  78.7661111111 ,    
256.427083333,  78.6069444444 ,
256.234166667,  78.5675 ,      
255.409166667,  78.7213888889 ,
255.347083333,  78.6875 ,      
255.842916667,  78.7822222222 ,
255.802083333,  78.5525 ,      
255.544583333,  78.7580555556 ,
255.660416667,  78.5594444444 ,
256.39125,  78.5866666667 ,    
255.577083333,  78.7677777778 ,
255.993333333,  78.5430555556 ,
255.522083333,  78.7627777778 ,
255.37375,  78.6019444444 ,    
255.895,    78.7944444444 ,    
256.07125,  78.7925 ,          
256.024583333,  78.5305555556 ,
255.293333333,  78.7263888889 ,
256.365833333,  78.5577777778 ,
256.1725,   78.5358333333 ,    
256.24125,  78.5402777778 ,    
255.2175,   78.6891666667 ,    
256.633333333,  78.7022222222 ,
255.515833333,  78.5475 ,      
256.317916667,  78.5436111111 ,
256.337916667,  78.7888888889 ,
255.334166667,  78.7555555556 ,
255.649583333,  78.8036111111 ,
256.202916667,  78.8058333333 ,
255.23875,  78.6033333333 ,    
255.169166667,  78.6858333333 ,
255.645833333,  78.5244444444 ,
255.21375,  78.7302777778 ,    
255.134166667,  78.67 ,        
256.293333333,  78.5263888889 ,
255.24625,  78.7497222222 ,    
256.734583333,  78.6858333333 ,
256.560416667,  78.5661111111 ,
256.595,    78.5722222222 ,    
255.249583333,  78.7588888889 ,
256.680416667,  78.5991666667 ,
255.122083333,  78.6347222222 ,
256.752083333,  78.6897222222 ,
256.679166667,  78.5886111111 ,
255.098333333,  78.7019444444 ,
255.744583333,  78.8302777778 ,
256.7825,   78.6427777778 ,    
256.704166667,  78.5927777778 ,
256.549166667,  78.5472222222 ,
256.799583333,  78.6494444444 ,
255.3075,   78.7911111111 ,    
255.377083333,  78.5311111111 ,
256.830833333,  78.6641666667 ,
256.24375,  78.8330555556 ,    
256.77,   78.5988888889 ,      
255.97375,  78.4866666667 ,    
256.457916667,  78.5186111111 ,
256.394166667,  78.5094444444 ,
255.89375,  78.8486111111 ,    
256.316666667,  78.5005555556 ,
256.315,    78.4972222222 ,    
256.71625,  78.5616666667 ,    
256.867083333,  78.6111111111 ,
256.309166667,  78.4886111111 ,
256.8625,   78.6058333333 ,    
255.06625,  78.5736111111 ,    
255.084583333,  78.5652777778 ,
254.950833333,  78.7013888889 ,
255.390833333,  78.8325 ,      
255.695,    78.8627777778 ,    
256.618333333,  78.8208333333 ,
255.094166667,  78.7894444444 ,
256.277916667,  78.4727777778 ,
255.55125,  78.8591666667 ,    
255.392916667,  78.8461111111 ,
256.39,   78.8547222222 ,      
255.5275,   78.4725 ,          
255.859166667,  78.8788888889 ,
254.880416667,  78.7236111111 ,
255.21125,  78.8302777778 ,    
256.723333333,  78.5155555556 ,
257.0225,   78.6255555556 ,    
257.045416667,  78.6533333333 ,
255.08125,  78.8102777778 ,    
256.979583333,  78.7469444444 ,
