B1,   255.9,   78.6288888889
B2,   255.892083333,   78.63
B3,   255.872916667,   78.6319444444
B4,   255.762083333,   78.5988888889
B5,   255.875416667,   78.6652777778
B6,   255.2175,   78.6891666667
B7,   256.412916667,   78.6255555556
B8,   256.734583333,   78.6858333333
B9,   256.680416667,   78.5991666667
B10,   255.985833333,   78.7455555556
B11,   255.562916667,   78.5963888889
B12,   255.842916667,   78.7822222222
B13,   256.200416667,   78.6413888889
B14,   255.347083333,   78.6875
B15,   254.576666667,   78.4927777778
B16,   254.695,   78.4227777778
B17,   255.799583333,   78.675
B18,   256.068333333,   78.6791666667
B19,   256.113333333,   78.6402777778
B20,   255.705416667,   78.6413888889
B21,   256.2375,   78.7183333333
B22,   255.572916667,   78.7646111111
B23,   256.39125,   78.5866666667
B24,   255.577083333,   78.7677777778
B25,   255.37375,   78.6019444444
B26,   256.202916667,   78.8058333333
B27,   256.29875,   78.8041388889
B28,   256.313333333,   78.8037666667
B29,   255.134166667,   78.67
B30,   255.24625,   78.7497222222
B31,   255.249583333,   78.7588888889
B32,   255.122083333,   78.6347222222
B33,   256.549166667,   78.5472222222
B34,   256.24375,   78.8330555556
B35,   255.97375,   78.4866666667
B36,   255.89375,   78.8486111111
B37,   256.8625,   78.6058333333
B38,   256.230416667,   78.852
B39,   255.695,   78.8627777778
B40,   256.618333333,   78.8208333333
B41,   255.55125,   78.8591666667
B42,   255.392916667,   78.8461111111
B43,   256.39,   78.8547222222
B44,   257.045416667,   78.6533333333
B45,   255.08125,   78.8102777778
B46,   255.10625,   78.8241666667
B47,   256.815833333,   78.5022222222
B48,   256.060416667,   78.91
B49,   257.013333333,   78.5441666667
B50,   255.570416667,   78.9030555556
B51,   254.90625,   78.4952777778
B52,   254.586666667,   78.7238888889
B53,   256.639583333,   78.4219444444
B54,   256.547916667,   78.4105555556
B55,   257.139583333,   78.4983333333
B56,   257.242083333,   78.8375
B57,   255.134583333,   78.9361111111
B58,   257.327916667,   78.5047222222
B59,   255.853333333,   78.3441666667
B60,   257.43,   78.5177777778
B61,   255.78875,   78.6888888889
B62,   256.15625,   78.8888888889
B63,   255.455,   79.0377777778
B64,   256.979583333,   78.7469444444
B65,   257.414583333,   78.5522222222
B66,   256.704166667,   78.5927777778
B67,   256.752083333,   78.6897222222
B68,   254.505,   78.5627777778
B69,   255.334166667,   78.7555555556
B70,   255.044583333,   79.0044444444
B71,   254.954166667,   78.9722222222
B72,   257.29125,   78.8755555556
B73,   256.285833333,   78.685
B74,   256.149583333,   78.6680555556
B75,   255.9075,   78.7829444444
B76,   254.196666667,   78.7830555556
B77,   254.714166667,   78.5166666667
B78,   257.63,   78.4861111111
B79,   257.198333333,   78.4322222222
B80,   257.174166667,   78.3958333333
B81,   257.34125,   78.3683333333
B82,   255.530416667,   78.2916666667
B83,   257.2525,   78.7720555556
B84,   255.89875,   78.665
B85,   255.905416667,   78.675
B86,   255.924583333,   78.6547222222
B87,   256.004166667,   78.6583333333
B88,   255.9625,   78.6430555556
B89,   255.803333333,   78.6722222222
B90,   255.9075,   78.6408333333
B91,   255.884166667,   78.6305555556
B92,   255.98625,   78.6266666667
B93,   256.125416667,   78.6466666667
B94,   255.94375,   78.6233333333
B95,   256.100833333,   78.6383333333
B96,   256.05625,   78.6286111111
B97,   255.745,   78.6377777778
B98,   255.886666667,   78.6172222222
B99,   255.93125,   78.7175
B100,   255.742083333,   78.7013888889
B101,   255.909583333,   78.615
B102,   256.091666667,   78.7083333333
B103,   256.1975,   78.6752777778
B104,   256.16875,   78.6919444444
B105,   255.869583333,   78.6141666667
B106,   255.655833333,   78.6763888889
B107,   256.137083333,   78.7055555556
B108,   256.21625,   78.6741666667
B109,   255.644583333,   78.6602777778
B110,   256.169583333,   78.6280555556
B111,   255.75625,   78.6144444444
B112,   256.264583333,   78.6672222222
B113,   256.183333333,   78.6227777778
B114,   256.205833333,   78.6283333333
B115,   255.839583333,   78.7316666667
B116,   256.240833333,   78.6369444444
B117,   256.08875,   78.6058333333
B118,   256.243333333,   78.7008333333
B119,   255.579166667,   78.6483333333
B120,   255.9825,   78.7388888889
B121,   255.571666667,   78.6383333333
B122,   255.857083333,   78.5916666667
B123,   255.633333333,   78.7180555556
B124,   256.326666667,   78.6461111111
B125,   256.35,   78.6730555556
B126,   256.362916667,   78.6463888889
B127,   256.3775,   78.6719444444
B128,   255.57125,   78.7213888889
B129,   256.050833333,   78.58
B130,   255.946666667,   78.5763888889
B131,   256.38625,   78.6505555556
B132,   255.73,   78.5844444444
B133,   255.584166667,   78.6036111111
B134,   256.389583333,   78.6947222222
B135,   256.079166667,   78.7569444444
B136,   255.492083333,   78.7105555556
B137,   256.117916667,   78.7577777778
B138,   255.595,   78.5938888889
B139,   256.448333333,   78.6658333333
B140,   255.612916667,   78.7469444444
B141,   255.805416667,   78.7655555556
B142,   256.247083333,   78.5844444444
B143,   256.19625,   78.5761111111
B144,   255.59,   78.7505555556
B145,   255.38,   78.6697222222
B146,   255.434166667,   78.6147222222
B147,   256.0175,   78.5563888889
B148,   256.382916667,   78.5972222222
B149,   255.65125,   78.7661111111
B150,   256.427083333,   78.6069444444
B151,   256.234166667,   78.5675
B152,   255.409166667,   78.7213888889
B153,   255.802083333,   78.5525
B154,   255.544583333,   78.7580555556
B155,   255.660416667,   78.5594444444
B156,   255.993333333,   78.5430555556
B157,   255.522083333,   78.7627777778
B158,   255.895,   78.7944444444
B159,   256.07125,   78.7925
B160,   256.024583333,   78.5305555556
B161,   255.293333333,   78.7263888889
