257.126666667 ,  78.4983333333                                               
256.714583333 ,  78.5163888889                                               
256.280833333 ,  78.5269444444                                               
256.270833333 ,  78.4733333333                                               
255.088333333 ,  78.5111111111                                               
254.70875 ,  78.5166666667                                                   
254.564166667 ,  78.4933333333                                               
257.409583333 ,  78.5522222222                                               
257.18125 ,  78.5677777778                                                   
257.0125 ,  78.6266666667                                                    
256.857916667 ,  78.6119444444                                               
256.8475 ,  78.6069444444                                                    
256.692916667 ,  78.5933333333                                               
256.662916667 ,  78.5988888889                                               
256.405416667 ,  78.6280555556                                               
256.546666667 ,  78.5486111111                                               
256.3725 ,  78.5858333333                                                    
256.172916667 ,  78.6236111111                                               
256.007916667 ,  78.5575                                                     
255.983333333 ,  78.6272222222                                               
255.75125 ,  78.5997222222                                                   
255.740416667 ,  78.6147222222                                               
255.65125 ,  78.56                                                           
255.57 ,  78.6094444444                                                      
255.5525 ,  78.5975                                                          
255.364166667 ,  78.6025                                                     
255.077916667 ,  78.5658333333
255.050833333 ,  78.5741666667
254.49125 ,  78.565
254.257083333 ,  78.5466666667
257.545416667 ,  78.6577777778
257.294583333 ,  78.6383333333
256.774583333 ,  78.6433333333
256.727083333 ,  78.6866666667
256.365833333 ,  78.6730555556
256.245833333 ,  78.6680555556
256.19375 ,  78.6427777778
256.1 ,  78.6402777778
256.060416667 ,  78.6805555556
256.042916667 ,  78.6302777778
255.915 ,  78.6572222222
255.897083333 ,  78.6402777778
255.897916667 ,  78.6291666667
255.887083333 ,  78.6302777778
255.865 ,  78.6666666667
255.855833333 ,  78.6338888889
255.78625 ,  78.6769444444
255.785416667 ,  78.6905555556
255.340416667 ,  78.6894444444
255.284166667 ,  78.7272222222
255.2075 ,  78.6902777778
255.122083333 ,  78.6713888889
255.117083333 ,  78.6352777778
257.249166667 ,  78.7727777778
256.19375 ,  78.8058333333
255.975 ,  78.7463888889
255.88875 ,  78.7952777778
255.83625 ,  78.7827777778
255.64625 ,  78.7672222222
255.569166667 ,  78.7688888889
255.53875 ,  78.7591666667
255.517083333 ,  78.7638888889
255.20625 ,  78.8311111111
255.239583333 ,  78.7505555556
255.089583333 ,  78.7905555556
255.079166667 ,  78.8111111111
254.189583333 ,  78.7830555556
253.990416667 ,  78.7722222222
257.2825 ,  78.8758333333
257.232916667 ,  78.8391666667
256.802083333 ,  78.8883333333
256.382083333 ,  78.8552777778
255.889166667 ,  78.8494444444
255.690833333 ,  78.8636111111
255.128333333 ,  78.9375
255.045 ,  79.0044444444
